timestamp,ros_time(in sec),robot_pos_x(in meters),robot_pos_y(in meters),robot_pos_th(in deg),robot_lin_vel_x(in m/s),robot_ang_vel_z(in deg/s),person1_pos_x(in meters),person1_pos_y(in meters),person1_pos_th(in deg),person2_pos_x(in meters),person2_pos_y(in meters),person2_pos_th(in deg),person3_pos_x(in meters),person3_pos_y(in meters),person3_pos_th(in deg),person4_pos_x(in meters),person4_pos_y(in meters),person4_pos_th(in deg),person5_pos_x(in meters),person5_pos_y(in meters),person5_pos_th(in deg),laser scan data
1658985865,0,7.5164007971255015e-06,9.880790446353703e-10,0.00279229143888,0.002186611586771825,-0.024717494434924023,8.006445110060898,5.044510930772796,0.654896080493927,-8.005759678445097,5.039604526210829,0.7559094429016113,-8.00576532407198,-5.039555906520247,-0.7560404539108276,8.001552135903063,-4.9740784014888275,0.681852400302887,0.0561503351362659,8.004273475853578,0.03898708522319794,inf
1658985866,0,1.240536035824511e-05,1.2050479878574103e-09,0.00285310620255,-0.0005567001765594886,0.027703777680892917,8.01655833722783,5.115307992980208,0.6552956104278564,-8.014797393401986,5.102623325093644,0.7555482983589172,-8.01481905604087,-5.102427066703079,-0.7557643055915833,8.00408422365045,-4.942893040714152,0.6763172745704651,0.14582249632406447,8.0113377767611,0.039005525410175323,inf
1658985867,0,5.4902057446304365e-06,9.231161005643051e-10,-0.00437247507613,0.0004369940544127532,0.027900036306906423,8.025242336989267,5.176314340389091,0.6554197072982788,-8.022559338194576,5.156946912268847,0.7554382681846619,-8.022599646348306,-5.1565730593195696,-0.7557135820388794,8.006430314795834,-4.917216525583965,0.6735328435897827,0.22312330363994393,8.01719425052845,0.037371184676885605,inf
1658985869,0,-1.2302140686095178e-05,2.9596433770400185e-11,-0.00299784113079,-0.00023911925546806834,-0.2941341688823215,8.040574244088216,5.284391973479596,0.6556531190872192,-8.036274258946294,5.253233676988979,0.7552529573440552,-8.036357156957283,-5.252447756688876,-0.7556229829788208,8.010896339011571,-4.872186156379123,0.6703757047653198,0.35994909960571786,8.026922396374403,0.03461999073624611,inf
1658985871,0,-1.0630210553858807e-07,-1.3622501929130523e-09,-0.00210561265671,-0.0005950275949199847,-0.33732083523918904,8.070664093878943,5.498111473007015,0.6561683416366577,-8.063188331036304,5.443775099048606,0.7547086477279663,-8.063388469810358,-5.441846648002377,-0.7552465796470642,8.0205419090405,-4.782041622587112,0.6676141023635864,0.6301913117848164,8.044456901777028,0.031177667900919914,inf
1658985873,0,-4.178722204467405e-06,-7.502799771346888e-10,-0.00247481400283,-0.0003512823063452699,-0.06454999607662867,8.054273898664379,5.704683384313936,0.8120734095573425,-8.091990930355061,5.63555866248796,0.7691067457199097,-8.079584835119903,-5.646614973460158,-0.6780086755752563,8.032156929312944,-4.676070781469636,0.667730450630188,0.9370981445496704,8.062643103757917,0.02850215509533882,inf
1658985875,1,-2.8370695443984616e-06,-3.0548949454769136e-10,-0.001930091133,0.0001613135122384465,0.059173907697207755,7.943240434409754,5.858244733112457,0.9270104169845581,-8.11395268259829,5.689347519855667,0.9980206489562988,-8.009947046486818,-5.804106335936293,-0.4542042016983032,8.044773929581025,-4.557097202954924,0.6691567301750183,1.266055307040694,8.081034250438519,0.03015454299747944,inf
1658985877,1,-1.4722090580824285e-06,1.8930732000168444e-10,-0.00172953058091,0.00016225314706030784,0.09954814429739188,7.770233911335947,5.971610128703056,0.971003532409668,-8.130552220373993,5.633655629838104,-0.7657486796379089,-7.873268472631205,-5.922963513619788,-0.29471081495285034,8.058907799680117,-4.427546550128819,0.6661547422409058,1.6089441302099257,8.105132352801292,0.03771107271313667,inf
1658985879,1,-1.6904784626398546e-06,7.140658904970045e-10,-0.00171407043114,0.00014575181261799843,0.09219259334977369,7.555119156512985,6.0590798568900786,0.985832691192627,-8.146170126810821,5.506703815953108,-0.7432349920272827,-7.692594702572971,-6.017267886696864,-0.20888486504554749,8.075848509515092,-4.289554814492602,0.659995973110199,1.9618190692264388,8.133235845299206,0.040470559149980545,inf
1658985881,1,-2.2157480230184294e-06,1.2406285811244164e-09,-0.0018765745718,0.0001603454160233866,0.07924604853032462,7.31100645511702,6.131629389480848,0.9912917017936707,-8.16148476310526,5.33283713285389,-0.7343685626983643,-7.48295995846899,-6.096022601689678,-0.16265055537223816,8.096507262596576,-4.144940849322464,0.6518256068229675,2.3219839762917234,8.16227345812821,0.039689477533102036,inf
1658985883,1,-7.3009979764236e-07,1.6874556083618633e-09,-0.000749829039682,0.00015875020340909483,0.1289987696332278,7.047403322918302,6.196200009566544,0.9935122728347778,-8.17509309388916,5.12827410681623,-0.7276885509490967,-7.254270868551801,-6.16485844374776,-0.1363910585641861,8.121559387353223,-3.9952559673618127,0.6421667337417603,2.6868400780770516,8.190168532727544,0.03693706542253494,inf
1658985885,2,-3.835705566674552e-06,2.3755596207795553e-09,-0.00330554285692,-0.0005048500072731187,-0.20481881358140686,6.771013093831428,6.2569773046463055,0.9944744110107422,-8.186152508913754,4.904045160830794,-0.7223935127258301,-7.013075644905436,-6.227319782302044,-0.12074761837720871,8.151447100655789,-3.8418020641218114,0.632128119468689,3.05432454765084,8.215787905365378,0.033318132162094116,inf
1658985887,2,-3.0195772839041434e-06,2.782467024883075e-09,-0.00253825185546,0.00015241310132067896,0.06233616661700965,6.4859426845661705,6.3157637129560245,0.9950414299964905,-8.195240016621238,4.667233609935051,-0.7196103930473328,-6.763313503306683,-6.285629927798523,-0.11081210523843765,8.185065155219897,-3.685431627958272,0.6265592575073242,3.4237603535837753,8.238822849682164,0.02972426451742649,inf
