,approach,num_person,average_sim_time_requirement_t1,std_sim_time_requirement_t1,average_sim_time_requirement_t2,std_sim_time_requirement_t2,average_speed_t1,std_speed_t1,average_speed_t2,std_speed_t2,average_acceleration_t1,std_acceleration_t1,rms_acceleration_t1,max_acceleration_t1,average_acceleration_t2,std_acceleration_t2,rms_acceleration_t2,max_acceleration_t2,average_min_distance_t1,std_min_distance_t1,average_min_distance_t2,std_min_distance_t2
0,human_aware_navigation,10_persons,351.5,81.72912577533177,420.5,100.54178235937535,0.3273956657411134,0.01238778937457102,0.3763303915932617,0.009494305400198471,0.00120882734378684,0.00036345717435156647,0.0012622854925389787,0.0020185107004226537,-0.0011115507908992864,0.0003326751945568009,0.0011602663253849242,-0.0006311053680160683,4.521636814752779,0.14275254617345215,3.319761969708165,0.15593877333081163
1,human_aware_navigation,20_persons,402.6,52.99094262230103,482.4,87.46679369909474,0.32243853526512517,0.008078277585731226,0.36623663161099335,0.020969920596943352,0.0008999194296998421,0.00020313576113751002,0.0009225611727165873,0.0012589270043390091,-0.0005919359825789957,0.00043563159092393556,0.0007349578834754276,0.00027486375658831725,4.227314970666251,0.11116021693022005,2.089134302503772,0.12176775401150033
2,human_aware_navigation,5_persons,393.5,22.096379793984354,480.0,40.51419504321911,0.3384100424697659,0.001102236342867406,0.3845089107109063,0.006479215140273471,0.0009451904426371758,8.969889496507359e-05,0.0009494371304149714,0.0010778777427497047,-0.0008531150608566942,0.0002207367508435219,0.0008812094077082225,-0.00020786951771515431,5.358579485066753,0.049993681178593964,6.039793488861384,0.21597077386911878
3,move_base,10_persons,392.6,20.95328136593407,503.8,36.872211758992705,0.3062081752551647,0.0055103810131684,0.3418356523394869,0.01998689252418816,0.0002044541660474061,1.2460755124375754e-05,0.00020483353346659322,0.00022281588209017005,-0.0009706490297628163,0.00016729405905353616,0.0009849603246700372,-0.0004936889081083278,4.419927820779608,0.04807882030966781,3.578333257716051,0.5226127228588382
4,move_base,20_persons,447.9,49.860705971736905,542.3,108.92479056670248,0.2996044858681395,0.012172031925808261,0.34170827677787363,0.01667547361001049,0.0002318625898141679,0.00017842421508676402,0.00029256701981710253,0.0007597810957612225,-0.0008240305322318802,9.614424358239958e-05,0.0008296204153854866,-0.000633306203719165,4.132531902598905,0.14285059755180532,2.414909245523873,0.16703762896791044
5,move_base,5_persons,386.3,19.225243821600806,500.6,46.33184649892555,0.31073556258702767,0.0058286194549383745,0.34284926563580775,0.017230270944614434,0.00020624841017478646,9.966767163782808e-06,0.00020648908723543727,0.00022497136440892738,-0.0009972294586128743,9.542485596264468e-05,0.0010017846556325456,-0.0007520742356344293,5.029767941729398,0.08857507238278309,5.146630493492759,0.7552506226617107
