timestamp,ros_time(in sec),robot_pos_x(in meters),robot_pos_y(in meters),robot_pos_th(in deg),robot_lin_vel_x(in m/s),robot_ang_vel_z(in deg/s),person1_pos_x(in meters),person1_pos_y(in meters),person1_pos_th(in deg),person2_pos_x(in meters),person2_pos_y(in meters),person2_pos_th(in deg),person3_pos_x(in meters),person3_pos_y(in meters),person3_pos_th(in deg),person4_pos_x(in meters),person4_pos_y(in meters),person4_pos_th(in deg),person5_pos_x(in meters),person5_pos_y(in meters),person5_pos_th(in deg),person6_pos_x(in meters),person6_pos_y(in meters),person6_pos_th(in deg),person7_pos_x(in meters),person7_pos_y(in meters),person7_pos_th(in deg),person8_pos_x(in meters),person8_pos_y(in meters),person8_pos_th(in deg),person9_pos_x(in meters),person9_pos_y(in meters),person9_pos_th(in deg),person10_pos_x(in meters),person10_pos_y(in meters),person10_pos_th(in deg),laser scan data
1658362200,0,2.3945781516031886e-06,-8.425679392149109e-10,0.00206812242051,0.0001729814324845644,0.06198991225655925,7.984701893760934,8.003051398864537,0.9971075654029846,-8.002920488618807,7.988644826881597,-0.7715917229652405,-7.989979099723604,-7.9993115783849165,0.031162643805146217,8.002979446230771,-7.9852892147618935,0.6503447890281677,0.034560769080909624,8.002593326370716,0.038149673491716385,7.986291754377969,6.999012921516561,0.9999529123306274,-6.9987685712696175,7.986740205616502,-0.6933344006538391,-6.986748162146175,-8.001663936668422,-0.06483190506696701,6.998584917637695,-7.9910580886873905,0.7346644401550293,-0.020978355209065085,-8.001776249705625,0.9990811347961426,inf
1658362201,0,9.445247282945912e-07,-6.234538883912595e-10,-0.00408476575782,-0.00025721534559626253,-0.2301067476749467,7.929854005248481,8.010713085006227,0.9976199865341187,-8.00986171264579,7.947129128495122,-0.7617942690849304,-7.95004647224616,-7.997611471374628,0.01742340438067913,8.010486873905412,-7.932918425055195,0.6552959680557251,0.11211463462973534,8.008736757116413,0.03965921700000763,7.936231341763856,7.000150038681515,0.9998468160629272,-6.9990083445573985,7.939178776401573,-0.7134398221969604,-6.942470591874406,-8.007725021737182,-0.06928130239248276,6.99769625674367,-7.957811894320654,0.711392879486084,-0.06829315556975028,-8.006083444214324,0.9989243745803833,inf
1658362203,0,-2.4780533974830246e-06,-1.2063898556799366e-09,0.00274145599163,0.0001238924331556033,0.19459462493301757,7.876126457119084,8.018316850500195,0.9974960088729858,-8.016493538589312,7.906003722521034,-0.7612860798835754,-7.910310657879049,-7.996748505047377,0.008898855186998844,8.01784993844067,-7.8818421876754075,0.6545274257659912,0.18279999007232373,8.01423922203627,0.03848298639059067,7.886685274089208,7.002671138308284,0.9996204376220703,-7.00065336226558,7.892613805361985,-0.7211568355560303,-6.899362362944854,-8.013944833211735,-0.07227707654237747,6.997962728275573,-7.924623797239609,0.7022031545639038,-0.11160258892087878,-8.010210903136436,0.9988592863082886,inf
1658362205,0,3.589647019103301e-06,-1.5545151272471118e-09,0.000307902052966,0.00014659864079167234,-0.18476204723364098,7.697222999975363,8.045070945063683,0.997098445892334,-8.039014140919072,7.767395866866295,-0.7618839740753174,-7.776424221658052,-7.997145773527328,-0.006451481021940708,8.0426176171813,-7.711718149674507,0.6544833183288574,0.4082065119958379,8.030316295931922,0.03385737165808678,7.719502476926044,7.01466421738814,0.9992522597312927,-7.010324729281079,7.736734540923298,-0.7318934798240662,-6.756171211846685,-8.035902368007205,-0.07794559001922607,7.003083143462534,-7.812264723743271,0.6848803758621216,-0.2511252527246553,-8.023519741617498,0.9989073872566223,inf
1658362207,0,2.4318279038964843e-06,-9.065041840580908e-10,0.000550147321109,0.000254890825230136,0.16277002892405693,7.474982634734476,8.080595100649903,0.9967026710510254,-8.06743579391724,7.591717992928531,-0.7610054612159729,-7.607176227118279,-8.000770320381676,-0.012333315797150135,8.07257966161915,-7.497809334310327,0.65761399269104,0.6799793680451229,8.047453987428334,0.030070053413510323,7.507015305617621,7.031309232680426,0.999258279800415,-7.025889564605097,7.539088632814199,-0.735264778137207,-6.577969524178494,-8.064979471101077,-0.08263067901134491,7.014811117754464,-7.669597830505711,0.673491358757019,-0.42158702271772874,-8.038656496612349,0.9990951418876648,inf
1658362209,0,-1.3689042561123936e-06,-2.4328620302941114e-10,-0.000212706689831,0.00017850998624164817,0.14202140559155196,7.228321405863946,8.122796643586549,0.9962013959884644,-8.098714961558297,7.3916359681262325,-0.7588356137275696,-7.4154643273864735,-8.005526093819666,-0.01184251718223095,8.10393572453343,-7.2549191839805145,0.6621109247207642,0.9776761592278885,8.064147260410737,0.026653200387954712,7.264179264633312,7.048946298307039,0.9994029402732849,-7.044536533270218,7.312767085860139,-0.7355327010154724,-6.378970706199083,-8.099583313220991,-0.08834023773670197,7.032158936445875,-7.506953899271853,0.6657035946846008,-0.6100847327789412,-8.053680557563238,0.999277651309967,inf
1658362211,1,-2.282156509334402e-06,4.1346527038269097e-10,-0.00159065247869,0.00019812139832120452,0.09848134023311153,6.972534861272296,8.170898014322455,0.9953214526176453,-8.130783831484992,7.175679033549671,-0.7562350630760193,-7.21039652786214,-8.009472041176839,-0.00775800459086895,8.134473271413746,-6.992863899365525,0.6666274666786194,1.288595563505232,8.07943875356233,0.02317996323108673,6.998056438515429,7.065325946041953,0.9996036291122437,-7.064443418816939,7.066907130820392,-0.7347064018249512,-6.168448203178058,-8.138963911953626,-0.09484259784221649,7.053994012825698,-7.331294504255293,0.6599164605140686,-0.8077441230442618,-8.067786086846333,0.9994167685508728,inf
1658362213,1,-2.1563730272651453e-06,1.0546746992921949e-09,-0.00163497834345,0.00010739137352735416,0.08325808810258324,6.714769768462449,8.224495081929312,0.9943535923957825,-8.162661777999084,6.948670997376369,-0.7536420822143555,-6.997825460591368,-8.011261792994805,-0.0017350398702546954,8.163586599999602,-6.718255949238241,0.6701064705848694,1.6055172430127707,8.092649903621542,0.019147558137774467,6.716247153014208,7.079105059859062,0.9997554421424866,-7.084564346653138,6.808823911410792,-0.7336774468421936,-5.950946359548521,-8.18228791818979,-0.10019470751285553,7.079331452046494,-7.147145874684583,0.6554364562034607,-1.0073719631564337,-8.080684241673742,0.9995167851448059,inf
1658362215,1,-3.4474393011580622e-06,1.7129990635886699e-09,-0.00207870576662,-0.00011856027337162647,0.030692592588993255,6.457505395422762,8.283098539933365,0.9933131337165833,-8.193693392336812,6.713610017169163,-0.7508400678634644,-6.78115781515608,-8.01030429443412,0.00486884405836463,8.191240500844732,-6.435620765133534,0.6728267073631287,1.9250482253915366,8.10300473068268,0.014087573625147343,6.425053561987047,7.090268070041074,0.999848484992981,-7.104392405861531,6.5482249290352215,-0.7333825826644897,-5.72908162589196,-8.228726752796874,-0.10475926846265793,7.107536649713987,-6.957402160099875,0.6515367031097412,-1.2038552832898084,-8.092324204325317,0.9995895028114319,inf
1658362216,1,-3.329697202886632e-06,2.2941167098471486e-09,-0.00201271238863,4.554684403967524e-06,0.058562669210357424,6.201464833935806,8.34621006323156,0.9923226833343506,-8.223516836882181,6.472779854957372,-0.7483447790145874,-6.56242206152768,-8.00638663896833,0.011695398949086666,8.217541094367924,-6.148049627278868,0.6749314069747925,2.246688365453064,8.109762879464032,0.008000049740076065,6.127810141539362,7.099502733209351,0.9998937249183655,-7.124189939727689,6.287623621906706,-0.7334161400794983,-5.504653754003749,-8.277733824874016,-0.10893114656209946,7.138220988963859,-6.763932676115518,0.6479678153991699,-1.3940232598002393,-8.102790695235475,0.9996414184570312,inf
