timestamp,ros_time(in sec),robot_pos_x(in meters),robot_pos_y(in meters),robot_pos_th(in deg),robot_lin_vel_x(in m/s),robot_ang_vel_z(in deg/s),person1_pos_x(in meters),person1_pos_y(in meters),person1_pos_th(in deg),person2_pos_x(in meters),person2_pos_y(in meters),person2_pos_th(in deg),person3_pos_x(in meters),person3_pos_y(in meters),person3_pos_th(in deg),person4_pos_x(in meters),person4_pos_y(in meters),person4_pos_th(in deg),person5_pos_x(in meters),person5_pos_y(in meters),person5_pos_th(in deg),laser scan data
1658347224,0,1.857473104267266e-05,-9.836571087040258e-10,-0.00460921403143,-0.00012273027845171078,-0.08569113219894632,8.006557419549107,5.0444036226863265,0.6535364389419556,-8.005881477358127,5.039610968838883,0.7571554183959961,-8.005775039048155,-5.039594976278057,-0.75608229637146,8.001656891545576,-4.974050059912361,0.6796202659606934,0.05607290071501331,8.004204382036225,0.03827795013785362,inf
1658347225,0,-3.5197040088529902e-06,6.541633692622919e-10,-0.00200215917202,-0.000701699679609092,0.20971461856151358,8.013067423293558,5.088424707645434,0.6532611846923828,-8.011735588184067,5.078965481612734,0.7574148178100586,-8.011449308417548,-5.078920696517813,-0.7558773159980774,8.003393652092768,-4.954231935524639,0.6743502616882324,0.11191334779443222,8.00851802792261,0.03845692798495293,inf
1658347226,0,-2.9462013339619075e-06,1.4114895040842521e-09,-0.00575167911677,1.674196772696255e-05,-0.15084131881784726,8.026077096666182,5.17550820387522,0.6525434851646423,-8.023467324481919,5.156995237920725,0.7580698132514954,-8.022672718752798,-5.156866546739867,-0.755804717540741,8.007237243677936,-4.916996637693613,0.667856752872467,0.22254572724503185,8.016684893258368,0.035885345190763474,inf
1658347228,0,-3.378203528064701e-06,-4.97377878258703e-10,0.00439572636767,-0.0005000877673814856,-0.03523157410925675,8.03658260892644,5.245048581903988,0.6520386338233948,-8.03297177450084,5.219456769202468,0.7585445046424866,-8.031647180209713,-5.219238798140548,-0.7557749152183533,8.010647721111209,-4.887642694824633,0.6642007231712341,0.3108992957673049,8.022738844881257,0.03366168960928917,inf
1658347229,0,2.466072604407092e-07,-4.825561007560093e-10,0.000612042044167,3.70681276054217e-05,0.009006672607243733,8.06112310289726,5.405404278036094,0.6510890126228333,-8.055260649896027,5.36394703736681,0.7593925595283508,-8.052342830735572,-5.363453787963693,-0.755574643611908,8.019457916815206,-4.819327128430271,0.6583958268165588,0.5146404659348487,8.03543441704627,0.029777269810438156,inf
1658347231,0,4.064781973145161e-07,-4.5703890628661434e-10,-0.000897041317695,1.623798072969398e-05,-0.0043246413557127055,8.080990816354761,5.623415418683283,0.7322766184806824,-8.087892300282958,5.571779229567443,0.7603349685668945,-8.081871715806553,-5.570727407287727,-0.7551603317260742,8.03383810729585,-4.718315000960342,0.6538494825363159,0.8064941178065957,8.051467998292622,0.026033230125904083,inf
1658347233,1,-2.1357666244635169e-07,-4.555551556226981e-10,-0.000655741100155,-1.9069697562623864e-05,0.005932109166887911,8.007557285141852,5.791391935562253,0.8898224234580994,-8.11804528521114,5.684371937311759,0.8577433228492737,-8.048461019147538,-5.750706731657798,-0.544739842414856,8.051199751914229,-4.602718127663584,0.6519129276275635,1.1247747682839,8.06645353906694,0.02164248749613762,inf
1658347235,1,-9.7542727055046e-07,-4.5108066635787764e-10,-0.000873645812796,-5.807109251798868e-06,-0.0065721899499743995,7.86251421807367,5.913599263408545,0.9597283601760864,-8.142941476846966,5.667126578097016,-0.8301824331283569,-7.935691107026889,-5.884722109948412,-0.3510669767856598,8.07067667743705,-4.47519721325409,0.6514151096343994,1.458872415586262,8.084293236089605,0.029817407950758934,inf
1658347237,1,-6.817320635717505e-07,-4.5882039770855807e-10,-0.00110521144133,1.2425514415625762e-05,-0.0009008703461417112,7.669751169482538,6.004165917087088,0.9826228618621826,-8.165878589023306,5.564549060093714,-0.7667051553726196,-7.770628050406079,-5.987985933016673,-0.2362469881772995,8.091559585931527,-4.3385196898192415,0.6516778469085693,1.8044248682553166,8.107286838378519,0.03493453562259674,inf
1658347238,1,-6.96988918778667e-07,-4.5974254615293516e-10,-0.00106457046374,-3.910125913919817e-06,0.0023825127372551747,7.44421442372162,6.076269905454286,0.9904245138168335,-8.188873463724008,5.405425522636076,-0.7509533166885376,-7.570894941602165,-6.070437604783619,-0.1720500886440277,8.113246625610048,-4.195065216703504,0.6524645686149597,2.1592172352138452,8.1329903773907,0.036580707877874374,inf
