timestamp,robot_pos_x,robot_pos_y,robot_pos_z,robot_roll,robot_pitch,robot_yaw,robot_lin_vel_x,robot_lin_vel_y,robot_lin_vel_z,robot_ang_vel_x,robot_ang_vel_y,robot_ang_vel_z,1.x,1.y,1.z,2.x,2.y,2.z,3.x,3.y,3.z,4.x,4.y,4.z,5.x,5.y,5.z
1657314764,1.6634971491178543e-05,-6.492858830469165e-10,0.0,0.0,0.0,-0.00535025227856,-0.00046914000826083846,0.0,0.0,0.0,0.0,-0.14746337604546414,7.972509383759548,8.001046515337745,0.0,-8.000841948762767,7.975575963397594,0.0,-7.97565538348732,-8.000963840826742,0.0,8.001006969844358,-7.9735515072119245,0.0,0.056168577151645666,8.004293899787784,0.0
1657314775,-5.283717009460308e-06,1.2658660524849015e-09,0.0,0.0,0.0,-0.0033859626014,-0.0007388922815322112,0.0,0.0,0.0,0.0,0.16310511778412984,7.955381344606816,8.001830303551738,0.0,-8.001472642562783,7.960350682963496,0.0,-7.960487073759555,-8.001680632457726,0.0,8.001761301774556,-7.957068371928245,0.0,0.0821503458842221,8.006366283831941,0.0
1657314786,-2.3481371782362668e-07,1.863890547493523e-09,0.0,0.0,0.0,-0.00085292452997,-7.385150836208973e-07,0.0,0.0,0.0,0.0,0.01034153465133195,7.072729043115329,8.037915358077553,0.0,-8.051865989959069,7.150777408432693,0.0,-7.160829297901974,-8.065811188918124,0.0,8.063363554301358,-7.079737677121183,0.0,1.2436512736748606,8.112947426502863,0.0
1657314796,-1.2352871549734336e-06,1.874757299343289e-09,0.0,0.0,0.0,-0.00136678196972,-5.337737969185182e-07,0.0,0.0,0.0,0.0,-0.0016881105748334537,5.74893050676358,7.951539398503475,0.0,-8.105812452590008,5.856185509494257,0.0,-5.898557766560121,-8.155863180788812,0.0,8.132363154037208,-5.675401677867275,0.0,2.946015665130427,8.368294514605747,0.0
1657314806,-1.8113573367787712e-06,1.8906350325376077e-09,0.0,0.0,0.0,-0.00182295199983,-6.282035605936442e-07,0.0,0.0,0.0,0.0,-0.00032397676372582744,4.278368569478197,7.899600537824063,0.0,-8.146704600342472,4.508177029542125,0.0,-4.571755798555487,-8.225275973571435,0.0,8.180188363287433,-4.215927870477681,0.0,4.814577726694566,8.533314203339891,0.0
1657314817,-2.418841691696223e-06,1.9122247565198927e-09,0.0,0.0,0.0,-0.00226504081622,-3.043149878096099e-07,0.0,0.0,0.0,0.0,0.0006880068485682962,2.7824080744513617,7.965743417863922,0.0,-8.169922667686352,3.1640838598344896,0.0,-3.2243521142211278,-8.267582739625755,0.0,8.239807638313156,-2.760870246639392,0.0,6.275125785901773,8.060435229502827,0.0
1657314828,0.17434811793017357,0.011221635583130333,0.0,0.0,-0.0,7.76712363896,0.39959410692625674,0.0,0.0,0.0,0.0,19.60886940298201,1.2764079592463442,8.050750453100287,0.0,-8.193572104287034,1.8272920914002426,0.0,-1.8757637573360664,-8.281538610716234,0.0,8.325929013585469,-1.3350783325525555,0.0,6.71752738635821,6.40745619707973,0.0
1657314840,0.5546477291586231,0.1236772026050761,0.0,0.0,-0.0,24.3554704171,0.39888632769512455,0.0,0.0,0.0,0.0,17.51191561987194,-0.2273188593867738,8.135182861568826,0.0,-8.244039200600373,0.4796042754862381,0.0,-0.5271530189210842,-8.297142744264125,0.0,8.445087408431434,0.09956975851681019,0.0,6.947758627747107,4.555640798927668,0.0
1657314851,0.8897032714646356,0.3289409671032198,0.0,0.0,-0.0,35.0566873221,0.29182002018853204,0.0,0.0,0.0,0.0,0.8341531021652377,-1.697426391283478,8.218696281587274,0.0,-8.287262138068265,-0.8614070561657311,0.0,0.8210448347248448,-8.335250313109675,0.0,8.537161311857096,1.5567724509784624,0.0,7.16218577560204,2.6850031131672067,0.0
1657314862,0.9849767082313615,0.3959161638361892,0.0,0.0,-0.0,35.2349583581,0.06111520811865023,0.0,0.0,0.0,0.0,-0.7977180909399146,-3.1601162593193526,8.296361474851414,0.0,-8.300786099348773,-2.1919154264142766,0.0,2.169537910865019,-8.360519492788592,0.0,8.559898326981871,3.016709765716404,0.0,7.387648834494675,0.8216476622041953,0.0
1657314872,1.1273413000129282,0.5082183164966928,0.0,0.0,-0.0,50.9374808011,0.03864276369723829,0.0,0.0,0.0,0.0,16.38935516972599,-4.628835347187048,8.367916285628269,0.0,-8.300392822142538,-3.524091750738756,0.0,3.5179643661505824,-8.388510363899252,0.0,8.53910032751711,4.476817659399244,0.0,7.583076719428008,-1.0251305324109328,0.0
