timestamp,ros_time,robot_pos_x,robot_pos_y,robot_yaw_th,robot_lin_vel_x,robot_ang_vel_z,person1_pos_x,person1_pos_y,person1_yaw_th,person2_pos_x,person2_pos_y,person2_yaw_th,person3_pos_x,person3_pos_y,person3_yaw_th,person4_pos_x,person4_pos_y,person4_yaw_th,person5_pos_x,person5_pos_y,person5_yaw_th,close_pos,close_dist
1657592493,0,-1.6947460386530865e-05,1.1828770990589696e-10,-0.000207743374169,-0.00023529617260895642,0.05809885820317575,7.9951782723280775,8.000162571009557,0.9998729825019836,-8.000168978413452,7.995702642306349,-0.7200499176979065,-7.995739156204874,-8.000157470842527,-0.0170782208442688,8.000188157957542,-7.995301441971301,0.6937192678451538,0.01771946378300089,8.001296671486577,0.0367412231862545,0.0584758706391,
1657592494,0,7.975103232442028e-06,-9.387200306845645e-10,0.0012251012185,-0.0002854506803261266,0.21367373936229014,7.934790706984521,8.002850823052782,0.9996835589408875,-8.00267479718899,7.941988585369664,-0.7253390550613403,-7.9423051413018655,-8.002676795212006,-0.026675382629036903,8.00300397004667,-7.936621920236912,0.6877858638763428,0.11211720229371774,8.008639452979917,0.03916660696268082,0.0584759153426,left
1657592495,0,-2.3729782468558074e-06,2.4567482500344294e-09,-0.0044906954107,-0.0002543095576233109,-0.22696489443061646,7.855233504766943,8.007505925896927,0.9995304942131042,-8.007091247519035,7.871173827118446,-0.7302094101905823,-7.87195415368422,-8.007192854812311,-0.03428670018911362,8.00798178070432,-7.85891244012828,0.6826680898666382,0.22298548861009862,8.017153952292142,0.037841591984033585,0.0584759153426,left
1657592495,0,5.893360563563677e-06,3.0056922743859723e-09,-0.0034060974976,-9.014636911517327e-05,-0.4186673009359186,7.789688850112994,8.011663577047674,0.9994931817054749,-8.011301753544908,7.812692197445345,-0.7325761318206787,-7.813945067248004,-8.011522667615573,-0.038088273257017136,8.012684063855087,-7.794464281106503,0.6804085969924927,0.311406405421484,8.02376633837109,0.037198495119810104,0.0584759153426,left
1657592496,0,-9.99639972008272e-06,2.801520145072731e-09,-0.00232432287067,-0.0005657276684188913,-0.1533715545188902,7.676629589092568,8.018676847459599,0.9995449781417847,-8.019217998588944,7.711298650395221,-0.7346691489219666,-7.713551142518695,-8.01971320558762,-0.04167972505092621,8.021409706848875,-7.682226546033174,0.6787485480308533,0.46094742982646847,8.034983148748546,0.037740353494882584,0.0584759153426,left
1657592497,0,-1.4829327926066223e-06,2.4953838691473217e-09,-0.00205980376656,-0.00048348271096958445,-0.4314047194404441,7.505302035558752,8.027655463090019,0.9997266530990601,-8.031893276703318,7.555904268024464,-0.7354272603988647,-7.5601037012583845,-8.03296495037056,-0.04353706166148186,8.035138140375746,-7.509194136183237,0.6786789298057556,0.6838474944674078,8.052720955258707,0.041155725717544556,0.0584759153426,left
1657592498,0,3.849362184604592e-06,2.6946683373256285e-09,0.00196472362677,0.00014663705359896438,0.0018926125680640872,7.318184337190476,8.034166127186307,0.9999072551727295,-8.045905339220104,7.383250702212917,-0.7348827719688416,-7.390169419593341,-8.047831516335277,-0.04351259022951126,8.050090250844463,-7.315703277685109,0.6797738075256348,0.9249087363513003,8.074260116984243,0.046738967299461365,0.0584759153426,left
1657592499,0,2.05692503579649e-06,2.930471139148918e-09,0.00133061600332,0.0001831730129733486,0.10249597178796298,7.121476237589918,8.036796155252613,0.9999969601631165,-8.060405056692462,7.198129700094664,-0.7337246537208557,-7.20857738752448,-8.063496964048424,-0.04265018552541733,8.065445445331667,-7.106906605274369,0.6812453269958496,1.177248489802993,8.10007840065273,0.05359245091676712,0.0584759153426,left
1657592500,1,3.342894045178799e-06,3.298053875874675e-09,0.00196403822609,0.00018417620016406664,0.11655262290508489,6.919269447812537,8.034922867382063,0.9999609589576721,-8.07470760143121,7.004096164073568,-0.731925904750824,-7.018463627880605,-8.079438984812136,-0.04128124192357063,8.080609212744598,-6.887191461068324,0.6829923391342163,1.436223561841243,8.13052975042987,0.06148951128125191,0.0584759600461,left
1657592501,1,1.5124233100945096e-06,3.580010837546127e-09,0.000793910758233,0.00014533368968932107,0.1361680317453642,6.713844149970584,8.028517579535567,0.9998100996017456,-8.08826376907703,6.8037726285331,-0.7297624349594116,-6.821743889201392,-8.0953324933165,-0.03970235958695412,8.095145904846662,-6.660307878550905,0.684799075126648,1.6990804601063894,8.165747121952682,0.06951528042554855,0.0584759153426,left
1657592502,1,-2.2361138657480183e-07,3.921962151358283e-09,-0.000817228066692,8.691518698207448e-05,0.09307179913927717,6.506035159547476,8.017934978716097,0.9995856881141663,-8.100754756487909,6.599045216379652,-0.7274486422538757,-6.619790166233545,-8.110997615259546,-0.03810236230492592,8.108840125679032,-6.428954503369167,0.686542272567749,1.964646422638008,8.205441006612027,0.07670894265174866,0.0584758706391,left
