timestamp,ros_time(in sec),robot_pos_x(in meters),robot_pos_y(in meters),robot_pos_th(in deg),robot_lin_vel_x(in m/s),robot_ang_vel_z(in deg/s),person1_pos_x(in meters),person1_pos_y(in meters),person1_pos_th(in deg),person2_pos_x(in meters),person2_pos_y(in meters),person2_pos_th(in deg),person3_pos_x(in meters),person3_pos_y(in meters),person3_pos_th(in deg),person4_pos_x(in meters),person4_pos_y(in meters),person4_pos_th(in deg),person5_pos_x(in meters),person5_pos_y(in meters),person5_pos_th(in deg),scan
1657789798,2,-1.8739139272544614e-06,5.809763459777409e-09,-0.00266957115625,-0.00039297324963536475,-0.35377316786419594,4.808647116621449,7.887815068683036,0.9999955296516418,-8.09105281922726,4.996850837914061,-0.7126562595367432,-5.022650694046991,-8.214091875747163,-0.0177102480083704,8.163261651692782,-4.744458710064307,0.6971345543861389,4.098644380826053,8.480971233742828,0.025365231558680534,inf
1657789802,2,1.9707283375519786e-06,5.8247683145273916e-09,0.00142935497272,0.00017139513876212012,0.1129412147932736,4.748930510981458,7.887719459608945,0.9999997019767761,-8.091931384956217,4.942911990003678,-0.7128415107727051,-4.968735226786965,-8.216007949067466,-0.017760826274752617,8.164827984611215,-4.686289874976667,0.6975250840187073,4.174054025984054,8.484364811805367,0.02248389460146427,inf
1657789806,3,1.701364804147962e-06,7.628063358758921e-09,0.000244986898323,0.00018799008236654012,0.05558888815455533,3.29489455268637,7.922162360097963,0.99985271692276,-8.120413445630305,3.6486634585796556,-0.7157033085823059,-3.6747985640938947,-8.26291685955038,-0.016339952126145363,8.189495298423315,-3.29188852929243,0.7016034722328186,5.89980710560197,8.397412052930564,-0.2509576380252838,inf
1657789811,4,0.03794524691455664,0.0006693437130069623,1.69273124105,0.2652363789064165,8.093825838863566,1.7796194536326495,7.9818475643567535,0.9997304677963257,-8.160936974211252,2.3047986054701894,-0.7223504185676575,-2.3266882044543498,-8.303759237130405,-0.01922636851668358,8.21862707946955,-1.8374591910533875,0.6919365525245667,6.58268300500511,7.044655914100365,-0.6253492832183838,inf
1657789817,5,0.4209131850266182,0.07212436371916493,18.8624352947,0.39676736071492325,13.777551135293942,0.2854125148372654,8.058198213374464,0.9997320175170898,-8.234888609375846,1.0048973475893848,-0.7257874608039856,-0.9800263514254675,-8.378129972779446,-0.02861724980175495,8.323166948020065,-0.4159261492518272,0.6751266717910767,6.84190531012292,5.268909829420509,-0.6700228452682495,inf
1657789822,6,0.7755185152035379,0.2525336033716044,34.679182411,0.40158291265131674,5.188028774564479,-1.2124113521846094,8.115407613755373,0.9998006224632263,-8.283071144643063,-0.3283062200264871,-0.7155453562736511,0.36747062231534866,-8.433493091194524,-0.008359035477042198,8.427665795512993,1.0253326127380111,0.6912963390350342,7.015929389429203,3.3974472805800153,-0.6711795330047607,inf
1657789827,7,0.9669484151149406,0.3862120819636166,35.0702578915,0.11980732919299542,-0.9452450728682158,-2.728511985666092,8.189376398002574,0.99964839220047,-8.30899912340447,-1.676705331041529,-0.7140865325927734,1.7161537940984697,-8.438057415443105,-0.010818268172442913,8.452206992866321,2.467657039202659,0.7070008516311646,7.2211321041006356,1.5162000953972783,-0.6669219136238098,inf
1657789832,8,1.2054753719610227,0.5528942592465957,35.1284412401,0.028442993013678364,0.5709130059781187,-4.240760907998901,8.27032942753999,0.9996337890625,-8.342165108722435,-3.024943664702118,-0.7169398665428162,3.0628903273467754,-8.509858643613521,-0.026569141075015068,8.448439844435821,3.9245105168209355,0.7060580849647522,7.427412827971742,-0.3630852660512017,-0.666577160358429,inf
1657789837,9,1.434760032071133,0.7132186691186949,34.9369643869,0.3999024663163938,-0.033858170532795225,-5.716647117924351,8.306885494623973,0.9884523153305054,-8.387061627645927,-4.370711072114521,-0.7220181226730347,4.4107980953962205,-8.556215600219375,-0.016464320942759514,8.468328989400167,5.384617173171426,0.7004081010818481,7.645646354159982,-2.212228930218945,-0.6624988913536072,inf
1657789842,10,1.7581556733644033,0.9484966211472291,38.1135763812,0.40002886109066293,4.566741664188285,-6.319861557521372,7.265380246500815,-0.7873069643974304,-8.423595559427541,-5.67592343580661,-0.621093213558197,5.726427245772748,-8.582891156678341,0.1332143247127533,7.728268586668081,6.218372941985456,0.9850099682807922,7.8781620608464245,-4.010147741634648,-0.6535524725914001,inf
1657789847,11,2.0626543197137526,1.2077660366413034,42.7193800486,0.4000143506257777,4.62498798551899,-6.5734615328566655,5.822915152408664,-0.7542293667793274,-7.51402321204369,-6.244845920500505,-0.12912514805793762,6.28635088680298,-7.714963010638447,0.5716531872749329,6.372848298666612,6.537416967640198,0.9958910346031189,8.191505109493828,-5.74074181100591,-0.6175907254219055,6.313083171844482
1657789853,12,2.3513392983432104,1.4846092882729802,44.6000343822,0.3999646726646108,1.5704975236484033,-6.757443409792396,4.334864669291763,-0.7478502988815308,-6.234079606697826,-6.493710106701905,-0.0841042697429657,6.6541936860088144,-6.544329136278659,0.5935158729553223,4.93545572755971,6.778567774954788,0.997052788734436,8.40341801627775,-5.0325301032893455,0.6523653268814087,inf
