timestamp,ros_time(in sec),robot_pos_x(in meters),robot_pos_y(in meters),robot_pos_th(in deg),robot_lin_vel_x(in m/s),robot_ang_vel_z(in deg/s),person1_pos_x(in meters),person1_pos_y(in meters),person1_pos_th(in deg),person2_pos_x(in meters),person2_pos_y(in meters),person2_pos_th(in deg),person3_pos_x(in meters),person3_pos_y(in meters),person3_pos_th(in deg),person4_pos_x(in meters),person4_pos_y(in meters),person4_pos_th(in deg),person5_pos_x(in meters),person5_pos_y(in meters),person5_pos_th(in deg),person6_pos_x(in meters),person6_pos_y(in meters),person6_pos_th(in deg),person7_pos_x(in meters),person7_pos_y(in meters),person7_pos_th(in deg),person8_pos_x(in meters),person8_pos_y(in meters),person8_pos_th(in deg),person9_pos_x(in meters),person9_pos_y(in meters),person9_pos_th(in deg),person10_pos_x(in meters),person10_pos_y(in meters),person10_pos_th(in deg),person11_pos_x(in meters),person11_pos_y(in meters),person11_pos_th(in deg),person12_pos_x(in meters),person12_pos_y(in meters),person12_pos_th(in deg),person13_pos_x(in meters),person13_pos_y(in meters),person13_pos_th(in deg),person14_pos_x(in meters),person14_pos_y(in meters),person14_pos_th(in deg),person15_pos_x(in meters),person15_pos_y(in meters),person15_pos_th(in deg),person16_pos_x(in meters),person16_pos_y(in meters),person16_pos_th(in deg),person17_pos_x(in meters),person17_pos_y(in meters),person17_pos_th(in deg),person18_pos_x(in meters),person18_pos_y(in meters),person18_pos_th(in deg),person19_pos_x(in meters),person19_pos_y(in meters),person19_pos_th(in deg),person20_pos_x(in meters),person20_pos_y(in meters),person20_pos_th(in deg),laser scan data
1658172414,0,8.09265956047291e-06,1.925353628573464e-10,-0.00327171033071,-0.0007315687329108034,-0.1710482510975839,7.939449435349639,8.012575851801898,0.9952402710914612,-8.0122184639016,7.935555751480594,-0.7664496302604675,-7.951948688850761,-8.006235487627213,-0.0558929368853569,8.01235095476,-7.931980723437107,0.6436639428138733,0.11195190490492929,8.008556038773275,0.03875884413719177,7.918267321875027,7.010811333272768,0.9974543452262878,-7.008955152725929,7.942290466441106,-0.7643620371818542,-6.947559888615783,-7.992715369237901,0.08920236676931381,7.00816598788689,-7.959575955328256,0.6218163967132568,-0.06782106587487208,-8.006204953736214,0.9988434910774231,7.9600981716788635,6.01349222897173,0.9860336780548096,-6.013159073065596,7.951110924692894,-0.7973859906196594,-7.946295148517621,-6.008456931556313,-0.08178305625915527,6.01411240690563,-7.934095146176362,0.6310870051383972,8.007089001814741,-0.08531973021746947,-0.6760514378547668,8.02745916011881,5.079065671774207,0.5628395080566406,-5.055889484057354,8.020720815642278,0.9806722402572632,-5.089124706824405,-8.020826122348437,0.9888469576835632,5.056858877120268,-8.02064294623899,-0.18786317110061646,-8.005113155891376,0.05914617710720613,0.7376582026481628,inf
1658172415,0,1.014086890898561e-06,1.0128265304041916e-09,-0.00212903635928,0.00015808476570373654,-0.1448927834390271,7.86476983383774,8.02801684760793,0.9946470260620117,-8.026856679092573,7.856736858364341,-0.7700262665748596,-7.8953831401748475,-8.011346278233587,-0.03997482731938362,8.027404928119351,-7.849985617135678,0.6387410163879395,0.222345216674116,8.016915199534866,0.03722970187664032,7.8198146470216665,7.024873788016637,0.9975767731666565,-7.021974895067192,7.871523478597804,-0.769526481628418,-6.890380757733249,-7.980236777746157,0.11269925534725189,7.020266236589758,-7.911506319310184,0.6130523681640625,-0.13494092670729216,-8.013045824028593,0.9986526966094971,7.911398356204983,6.028625943774316,0.9899451732635498,-6.028176936425367,7.892905820296917,-0.7865380644798279,-7.881745090838887,-6.019743265326992,-0.08845724165439606,6.028635641171192,-7.853710489018691,0.6454954743385315,8.014419835079055,-0.16968157718608984,-0.6758873462677002,8.056585507434256,5.155866301711807,0.5724033117294312,-5.109615392817648,8.042337324582006,0.9826955795288086,-5.1659853300344345,-8.05155845166007,0.9786831736564636,5.112872512635307,-8.041551343844457,-0.17137345671653748,-8.010378431260568,0.11737205900922723,0.7384378910064697,inf
1658172416,0,5.525428327547677e-06,7.830402196558743e-10,0.000434661452815,-0.000382201163106055,0.08247370468519048,7.802877261731757,8.04118203848507,0.9944876432418823,-8.039445125718297,7.79163883289384,-0.771665632724762,-7.850639645649745,-8.014168467240147,-0.02871587499976158,8.040202248233248,-7.782887743027388,0.6371228694915771,0.3100426461881474,8.023320237760341,0.03622309863567352,7.739406669463138,7.035488954101417,0.9979407787322998,-7.032934327333322,7.813417200452205,-0.7698087096214294,-6.843841779476898,-7.969390393686332,0.11390111595392227,7.030571317499426,-7.871413554854001,0.6129523515701294,-0.18856494864642193,-8.018815532099072,0.998535692691803,7.8720873324629945,6.0389688734103135,0.9922428727149963,-6.038632384559284,7.845591760257391,-0.7775000333786011,-7.829124944339793,-6.029459059414705,-0.09193277359008789,6.038611848346861,-7.788967028434658,0.6526286005973816,8.020161594343518,-0.23695533793164816,-0.6765594482421875,8.07857353971157,5.220473733464829,0.5854055285453796,-5.154823682919328,8.058754854734659,0.9855803847312927,-5.224274992910908,-8.079765696677116,0.9736158847808838,5.159895629769497,-8.05718000566105,-0.15608316659927368,-8.014594942791541,0.16371700776238163,0.7384164929389954,inf
1658172418,0,3.498770045148143e-07,5.789521156923732e-10,-0.00053969920198,-2.557199181532069e-05,0.08947389046181725,7.733023565141491,8.05608002968005,0.9944964051246643,-8.053874102647624,7.718384301221866,-0.7726110219955444,-7.801295893291769,-8.016141904108515,-0.01716454140841961,8.054666644816752,-7.707881957285726,0.6365629434585571,0.40655126709800904,8.030231900217618,0.03561383858323097,7.649593495997556,7.046143836683501,0.9983584880828857,-7.045027826930305,7.74837072977331,-0.7686845660209656,-6.790726619185135,-7.957627492058502,0.10657469928264618,7.042083449282478,-7.825896864493111,0.6148767471313477,-0.24789714586612302,-8.025471924216065,0.9984074234962463,7.829044309259763,6.04899483475552,0.993794858455658,-6.0488040233251805,7.792972349296935,-0.7693802714347839,-7.77039322450936,-6.040602886390875,-0.0940445214509964,6.0485717634228156,-7.717430320168011,0.6576657295227051,8.026322171483102,-0.31122321569884254,-0.6774832010269165,8.101187737794842,5.295125351814387,0.5991649627685547,-5.207258578897046,8.075702519871234,0.9884839653968811,-5.288210118159595,-8.112917438661565,0.9710650444030762,5.213919634480208,-8.073408091866089,-0.14212092757225037,-8.019200559043776,0.21483879191575864,0.7380370497703552,inf
1658172420,0,5.310504721533178e-07,5.412383213274645e-10,-0.00127362272226,1.7293919954530762e-05,-0.006946656884090705,7.57428196594328,8.089387407417231,0.9947744011878967,-8.086874241731893,7.552721545676198,-0.7732349634170532,-7.689890875114778,-8.016955713328512,0.0033654419239610434,8.087038618258832,-7.539784023917433,0.6370034217834473,0.6193182277926221,8.045248759034305,0.03503240644931793,7.448180257712233,7.0655023163142285,0.9990965723991394,-7.0709024910236575,7.602062445808595,-0.7646178603172302,-6.666208217934567,-7.934915790777515,0.07963790744543076,7.067198122851706,-7.721861857266637,0.6208986639976501,-0.3796775505322586,-8.04139355102017,0.998045027256012,7.735852742721355,6.068144444937645,0.9952855110168457,-6.067663534055281,7.675625159957137,-0.7569687962532043,-7.638446182608667,-6.065882446056142,-0.09417802840471268,6.06841109204598,-7.5586405034809445,0.6637415289878845,8.039301139143166,-0.47563875523217464,-0.6794083714485168,8.14525300785992,5.47057965222868,0.6231281757354736,-5.331375303406717,8.108867660327574,0.9928775429725647,-5.433994073074341,-8.188753196529916,0.9723899364471436,5.339746117028133,-8.106350473013931,-0.12039434909820557,-8.029055159563123,0.3278398416081937,0.7366100549697876,inf
1658172423,0,-4.025257494922918e-07,5.45099626351408e-10,-0.000689398297427,-2.8292547530939265e-05,0.00802194462070729,7.350154248307914,8.134702129862909,0.9951732158660889,-8.133254007877703,7.320304742238937,-0.773145854473114,-7.528259807967582,-8.012732581445771,0.01666996255517006,8.131272040977912,-7.306989252833147,0.6381223797798157,0.9095884508858917,8.06517369841342,0.033449552953243256,7.167628914371629,7.083587327089042,0.999663233757019,-7.103799573999636,7.397306934565204,-0.758891761302948,-6.4829576492941365,-7.913574193407705,0.04675418883562088,7.099913038712907,-7.57447247229224,0.6289396286010742,-0.5607791330950144,-8.066635013269224,0.997247576713562,7.611124037263484,6.091875009916008,0.9956603646278381,-6.088492619993418,7.512651311534856,-0.7470879554748535,-7.453149128398007,-6.100250594926647,-0.08938855677843094,6.093158330021739,-7.3387418267381355,0.6678069233894348,8.055847874949963,-0.7008940076261237,-0.6815189123153687,8.161382007173668,5.702658632127109,0.7623368501663208,-5.515176229195619,8.146484934165551,0.9958796501159668,-5.589392979065338,-8.286142983380199,0.9120124578475952,5.522574931724498,-8.146721463694032,-0.10175326466560364,-8.041608215381261,0.4819686008005927,0.7343317866325378,inf
1658172425,1,-1.0128356883675699e-06,5.474001895476427e-10,-0.000948568523037,4.959078619526324e-07,-0.006959464856176842,7.107803478376035,8.18241142660075,0.9953146576881409,-8.182965216574914,7.070364358063123,-0.7727827429771423,-7.346892454431156,-8.007083433219774,0.013099338859319687,8.177629053213346,-7.060351894927493,0.6385795474052429,1.2133786746090096,8.08384754709423,0.028332550078630447,6.865971684068806,7.094491226626856,0.9999063014984131,-7.135513776245209,7.176469440305314,-0.7537523508071899,-6.280510291926942,-7.896706801328039,0.04121706634759903,7.132442769619801,-7.414272102726407,0.6348066329956055,-0.7512678379595381,-8.09828345286524,0.9962272047996521,7.474117797547869,6.1165091224957955,0.9965000152587891,-6.106973538683009,7.337032505153208,-0.7412139773368835,-7.251927131396401,-6.13478095997291,-0.08171989023685455,6.117835295603544,-7.102858466840661,0.6700502038002014,8.071940114797332,-0.9379141333105787,-0.6835777759552002,8.06865326138794,5.880909397589445,0.8962637186050415,-5.690944862204697,8.138871993669522,0.9894459843635559,-5.576950491794433,-8.373521030312991,-0.4331722557544708,5.679843877830212,-8.125913469924964,0.18993879854679108,-8.053677630651517,0.643004813661638,0.7324411869049072,inf
1658172427,1,-5.125318135813855e-07,5.349764658330439e-10,-0.00117233228271,1.1333718283301754e-05,-0.00030805860713027726,6.854750954384995,8.232343975999218,0.9951717257499695,-8.233611432145594,6.811119353336123,-0.7712676525115967,-7.15166928735382,-8.00519185728862,-0.0013800963060930371,8.225434850126806,-6.806277361971925,0.6381204724311829,1.5213621213367259,8.102166942188367,0.03190925344824791,6.551152475867493,7.100622698639142,0.9999684691429138,-7.165690126618796,6.944426616465044,-0.7498298287391663,-6.068602200313128,-7.877471110810235,0.04778279364109039,7.165590737124136,-7.242829969127223,0.6373664736747742,-0.9428769074176592,-8.132871418813863,0.9960033297538757,7.315976011168145,6.139164378922332,0.998045027256012,-6.124694623054994,7.150508573341756,-0.7391276955604553,-7.039724134213677,-6.168120875249491,-0.07581260055303574,6.142995635844176,-6.856275059524784,0.670118510723114,8.087518650385897,-1.1789758188095272,-0.6832908987998962,7.918839791741586,6.019990407435467,0.9469175934791565,-5.820577160899082,8.05170766471585,0.9285428524017334,-5.448382921402568,-8.454874061196948,-0.22431161999702454,5.792448404744226,-8.033962810924208,0.41544631123542786,-8.065727595902777,0.8066956975597682,0.7330068349838257,inf
1658172430,1,-6.656986076905266e-07,5.365206971512229e-10,-0.00112268361311,-5.9247497738335095e-06,0.0023288926990316775,6.597398081348529,8.285125605480408,0.9946590065956116,-8.28347101385708,6.548246746556268,-0.7694578766822815,-6.945837549969272,-8.009667704931575,-0.01649290695786476,8.274845884823876,-6.547943966681387,0.636499285697937,1.830410270938463,8.121993058190235,0.031171659007668495,6.230276356176928,7.104994177886069,0.9999788999557495,-7.194273655139184,6.703888051719327,-0.7462186813354492,-5.851954608297738,-7.857560513435192,0.04218827933073044,7.198987668009862,-7.062880828444716,0.6410090327262878,-1.1290484106025975,-8.165343150577577,0.9965168833732605,7.1535147144592734,6.154538486101481,0.9993265867233276,-6.142727537728717,6.952586012770329,-0.7380668520927429,-6.820001837747022,-6.200760826908309,-0.0724012479186058,6.169403993937764,-6.6022572429289506,0.6691905856132507,8.104157088103022,-1.4194585298466078,-0.6817164421081543,7.743916896425189,6.132616805050791,0.9649763107299805,-5.9185358689183065,7.919167203786302,0.8705418705940247,-5.247783438096628,-8.529424794027332,-0.15411080420017242,5.874085498822394,-7.896989414775887,0.5322117805480957,-8.078873052183775,0.9707892630410025,0.7370290756225586,inf
1658172433,1,-1.0360356590013086e-06,5.435269393249642e-10,-0.00121794605551,-3.3420237137260604e-06,-0.0016699227413910548,6.339768640574257,8.341412312576173,0.9939050078392029,-8.331881073952383,6.285665053273901,-0.7680054306983948,-6.732243442742282,-8.019153199536998,-0.025019623339176178,8.326233364254746,-6.28765621546999,0.6337568163871765,2.1388153013892457,8.139226768175302,0.025265410542488098,5.90921865490333,7.109544115801143,0.9999697208404541,-7.2207410401967635,6.457638708113138,-0.7423653602600098,-5.629536513322729,-7.842003667517012,0.030801432207226753,7.230854102676056,-6.87761222835369,0.6468175053596497,-1.3053853074612678,-8.193195100528524,0.9972074031829834,6.990486086962849,6.161831931788743,0.9999078512191772,-6.16055953523955,6.746732658755674,-0.7360924482345581,-6.594742313215337,-6.232841137678573,-0.06953197717666626,6.196822138153876,-6.344020589367936,0.6684220433235168,8.121126546829903,-1.6565627240528975,-0.6813651919364929,7.556720409475411,6.233279314567475,0.9721070528030396,-5.994617282938869,7.758334917467685,-0.8304439187049866,-5.008448953377386,-8.593983078152792,-0.11997073888778687,5.937943351376783,-7.729114560683001,0.5849578976631165,-8.095143044093705,1.1341778137115957,0.7441340088844299,inf
